time_s,track_id,lat_deg,lon_deg,alt_m,range_m,azimuth_deg,elevation_deg,radial_velocity_mps,snr_db,rcs_dbsm,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps
31.5,1,39.13044131141724,-76.67305351389,34488.86595158558,52936.67678131746,51.58375412213934,40.475337693367976,1580.269657361514,14.0760188827297,-3.2713023555944076,1145347.388818699,-4835002.373651408,4042427.367008734,1027.6345293715028,0.7480738806523277,1206.2434041318347
31.75,1,39.132200361952975,-76.67017037416379,34724.67478487082,53331.55348515121,51.58375412213917,40.44353104235912,1578.744247697565,17.475305778029778,-5.24527784594211,1145604.2439554848,-4835001.954236016,4042728.735385646,1027.2065649159913,2.607249251502708,1204.7036111655084
32.0,1,39.1339592336013,-76.66728726721165,34959.88651154004,53726.04904248768,51.58375412213934,40.41169426223112,1577.2204858912928,15.040291690318764,-4.565233925533382,1145860.992101157,-4835001.070026781,4043029.7188143167,1026.7786004604795,4.466424622353088,1203.163818199182
32.25,1,39.1357179268753,-76.66440419221685,35194.50113043375,54120.1638656734,51.58375412213883,40.37982732984035,1575.6983750044997,12.915844267677867,-5.133822964516041,1146117.633255715,-4834999.721023704,4043330.3172947457,1026.350636004968,6.325599993203468,1201.6240252328555
32.5,1,39.13747644228782,-76.66152114836268,35428.518640402704,54513.89836782216,51.58375412213934,40.347930222076165,1574.1779181035376,15.006935413358685,-5.238173743974666,1146374.1674191596,-4834997.907226785,4043630.530826933,1025.9226715494565,8.184775364053849,1200.084232266529
32.75,1,39.139234780351515,-76.65863813483253,35661.93904030509,54907.25296281348,51.58375412213917,40.316002915855854,1572.659118259319,14.304156911007443,-4.767830110373744,1146630.5945914898,-4834995.628636023,4043930.359410879,1025.494707093945,10.043950734904115,1198.5444393002026
33.0,1,39.14099294157881,-76.65575515080981,35894.76232900936,55300.22806529596,51.58375412213934,40.28404538812927,1571.141978547303,17.316354739838488,-4.528461477454861,1146886.9147727063,-4834992.885251418,4044229.803046583,1025.0667426384334,11.903126105754495,1197.0046463338763
33.25,1,39.14275092648193,-76.652872195478,36126.988505391404,55692.82409068783,51.58375412213968,40.25205761587916,1569.6265020474973,15.871543184774195,-4.844570672331534,1147143.127962809,-4834989.67707297,4044528.8617340457,1024.638778182922,13.762301476604875,1195.4648533675497
33.5,1,39.14450873557287,-76.64998926802062,36358.61756834015,56085.04145517785,51.58375412213894,40.22003957611732,1568.112691844461,15.046286977456342,-4.946844652422133,1147399.234161798,-4834986.0041006785,4044827.535473267,1024.2108137274101,15.621476847455256,1193.9250604012232
33.75,1,39.14626636936342,-76.64710636762126,36589.64951675013,56476.880575725794,51.58375412213957,40.187991245892796,1566.6005510272894,15.558160481881549,-5.7215580335428475,1147655.233369673,-4834981.866334546,4045125.8242642465,1023.7828492718986,17.480652218305636,1192.3852674348968
34.0,1,39.14802382836516,-76.64422349346357,36820.08434952516,56868.341870064694,51.58375412213934,40.155912602280125,1565.0900826896348,18.991513995373875,-5.09728659841349,1147911.1255864338,-4834977.26377457,4045423.7281069844,1023.3548848163871,19.339827589155902,1190.8454744685705
34.25,1,39.149781113089475,-76.64134064473122,37049.92206557933,57259.42575670188,51.583754122139226,40.12380362239166,1563.5812899296807,15.457813574906844,-3.4266450975247578,1148166.9108120808,-4834972.1964207515,4045721.247001481,1022.9269203608756,21.199002960006283,1189.3056815022442
34.5,1,39.1515382240475,-76.63845782060794,37279.16266383696,57650.132654919675,51.58375412213951,40.09166428337081,1562.0741758501524,12.343164617702403,-5.763057209694767,1148422.5890466142,-4834966.664273091,4046018.3809477356,1022.498955905364,23.058178330856663,1187.7658885359176
34.75,1,39.153295161750215,-76.63557502027753,37507.80614322703,58040.46298477608,51.583754122138885,40.05949456239268,1560.568743558317,14.976263725626728,-3.808857046911135,1148678.1602900336,-4834960.667331586,4046315.129945749,1022.0709914498524,24.917353701707043,1186.226095569591
35.0,1,39.15505192670831,-76.6326922429238,37735.85250269342,58430.41716710738,51.583754122139055,40.02729443666989,1559.0649961659674,10.845268546445281,-4.519856596608389,1148933.6245423392,-4834954.205596239,4046611.4939955208,1021.6430269943409,26.776529072557423,1184.6863026032647
35.25,1,39.15680851943235,-76.62980948773065,37963.301741183735,58819.995623526745,51.58375412213951,39.99506388344455,1557.5629367894371,15.127841162125472,-4.07256151844182,1149188.9818035308,-4834947.27906705,4046907.47309705,1021.2150625388292,28.63570444340769,1183.1465096369384
